"id","zip_type","zip","zip_complement","short_name","long_name","state_id/unique_code","country_id/code"
7450,20,1304,3,"Allens","Allens","CH_VD","CH"
7458,80,9470,70,"Buchs SG Dist Fil","Buchs SG Dist Fil","CH_SG","CH"
7459,80,8867,70,"Niederurnen Dist F","Niederurnen Dist Fil","CH_GL","CH"
7465,80,7302,70,"Landquart Dist Ba","Landquart Dist Ba","CH_GR","CH"
7473,80,5200,70,"Brugg AG Dist Fil","Brugg AG Dist Fil","CH_AG","CH"
7474,80,3960,70,"Sierre Dist Fil","Sierre Dist Fil","CH_VS","CH"
7482,80,1630,70,"Bulle Dist Fil","Bulle Dist Fil","CH_FR","CH"
7484,80,1196,70,"Gland Dist Fil","Gland Dist Fil","CH_VD","CH"
7485,20,5624,2,"Waldhäusern AG","Waldhäusern AG","CH_AG","CH"
7486,40,8087,0,"Zürich","Zürich","CH_ZH","CH"
7487,40,3000,65,"Bern 65","Bern 65 SBB","CH_BE","CH"
7496,80,1066,60,"Epalinges Dist","Epalinges Distribution","CH_VD","CH"
7497,80,1033,60,"Cheseaux Dist","Cheseaux-Laus Distribution","CH_VD","CH"
7498,20,3960,4,"Niouc","Niouc","CH_VS","CH"
7500,80,4410,70,"Liestal Dist Fil","Liestal Dist Fil","CH_BL","CH"
7528,20,1912,2,"Produit (Leytron)","Produit (Leytron)","CH_VS","CH"
7529,20,1912,3,"Montagnon (Leytron","Montagnon (Leytron)","CH_VS","CH"
7530,20,1912,4,"Dugny (Leytron)","Dugny (Leytron)","CH_VS","CH"
7531,20,1914,2,"Auddes-sur-Riddes","Auddes-sur-Riddes","CH_VS","CH"
7532,20,1932,2,"Les Valettes","Les Valettes (Bovernier)","CH_VS","CH"
7533,20,1933,2,"Vens(Sembrancher)","Vens (Sembrancher)","CH_VS","CH"
7534,20,1933,3,"Chamoille","Chamoille (Sembrancher)","CH_VS","CH"
7535,20,1933,4,"La Garde","La Garde (Sembrancher)","CH_VS","CH"
7536,20,1934,2,"Cotterg(Le Châble)","Cotterg (Le Châble VS)","CH_VS","CH"
7537,20,1934,3,"Villette","Villette (Le Châble VS)","CH_VS","CH"
7538,20,1934,4,"Fontenelle","Fontenelle (Le Châble VS)","CH_VS","CH"
7539,20,1934,5,"Montagnier","Montagnier (Le Châble VS)","CH_VS","CH"
7540,20,1941,2,"Cries (Vollèges)","Cries (Vollèges)","CH_VS","CH"
7541,20,1945,2,"Fontaine Dessus","Fontaine Dessus (Liddes)","CH_VS","CH"
7542,20,1945,3,"Fontaine Dessous","Fontaine Dessous (Liddes)","CH_VS","CH"
7543,20,1945,4,"Dranse (Liddes)","Dranse (Liddes)","CH_VS","CH"
7544,20,1945,5,"Chandonne (Liddes)","Chandonne (Liddes)","CH_VS","CH"
7545,20,1945,6,"Rive Haute(Liddes)","Rive Haute (Liddes)","CH_VS","CH"
7546,20,1945,7,"Fornex(Liddes)","Fornex (Liddes)","CH_VS","CH"
7547,20,1945,8,"Les Moulins VS","Les Moulins VS (Liddes)","CH_VS","CH"
7548,20,1945,9,"Vichères (Liddes)","Vichères (Liddes)","CH_VS","CH"
7549,20,1945,10,"Palasuit (Liddes)","Palasuit (Liddes)","CH_VS","CH"
7550,20,1945,11,"Chez Petit(Liddes)","Chez Petit (Liddes)","CH_VS","CH"
7551,20,1945,12,"Petit Vichères","Petit Vichères (Liddes)","CH_VS","CH"
7552,20,1947,2,"Prarreyer","Prarreyer (Versegères)","CH_VS","CH"
7553,20,1947,3,"Les Places","Les Places (Versegères)","CH_VS","CH"
7554,20,1947,4,"La Montoz","La Montoz (Versegères)","CH_VS","CH"
7555,20,1947,5,"Champsec","Champsec (Versegères)","CH_VS","CH"
7556,20,1947,6,"Le Fregnoley","Le Fregnoley (Versegères)","CH_VS","CH"
7557,20,1948,3,"Le Planchamp","Le Planchamp (Lourtier)","CH_VS","CH"
7558,20,1948,4,"Le Morgnes","Le Morgnes (Lourtier)","CH_VS","CH"
7559,20,1955,2,"Les Vérines","Les Vérines (Chamoson)","CH_VS","CH"
7560,20,1955,3,"Némiaz (Chamoson)","Némiaz (Chamoson)","CH_VS","CH"
7561,20,1955,4,"Grugnay (Chamoson)","Grugnay (Chamoson)","CH_VS","CH"
7562,20,1965,2,"Roumaz (Savièse)","Roumaz (Savièse)","CH_VS","CH"
7563,20,1965,3,"Granois (Savièse)","Granois (Savièse)","CH_VS","CH"
7564,20,1965,4,"St-Germain","St-Germain (Savièse)","CH_VS","CH"
7565,20,1965,5,"Ormône (Savièse)","Ormône (Savièse)","CH_VS","CH"
7566,20,1965,6,"Mayens-de-la-Zour","Mayens-de-la-Zour (Savièse)","CH_VS","CH"
7567,20,1966,2,"Fortunau (Ayent)","Fortunau (Ayent)","CH_VS","CH"
7568,20,1966,3,"Luc (Ayent)","Luc (Ayent)","CH_VS","CH"
7569,20,1966,4,"St-Romain (Ayent)","St-Romain (Ayent)","CH_VS","CH"
7570,20,1966,5,"Saxonne (Ayent)","Saxonne (Ayent)","CH_VS","CH"
7571,20,1966,6,"Villa (Ayent)","Villa (Ayent)","CH_VS","CH"
7572,20,1966,7,"La Place (Ayent)","La Place (Ayent)","CH_VS","CH"
7573,20,1966,8,"Botyre (Ayent)","Botyre (Ayent)","CH_VS","CH"
7574,20,1966,9,"Blignou (Ayent)","Blignou (Ayent)","CH_VS","CH"
7575,20,1966,10,"Argnou (Ayent)","Argnou (Ayent)","CH_VS","CH"
7576,20,1969,2,"Liez (St-Martin)","Liez (St-Martin)","CH_VS","CH"
7577,20,1969,3,"Trogne (St-Martin)","Trogne (St-Martin)","CH_VS","CH"
7578,20,1969,4,"Suen (St-Martin)","Suen (St-Martin)","CH_VS","CH"
7579,20,1971,2,"Champlan","Champlan (Grimisuat)","CH_VS","CH"
7580,20,1983,2,"Lana (Evolène)","Lana (Evolène)","CH_VS","CH"
7581,20,1991,2,"Arvillard (Salins)","Arvillard (Salins)","CH_VS","CH"
7582,20,1991,3,"Pravidondaz","Pravidondaz (Salins)","CH_VS","CH"
7583,20,1991,4,"Turin (Salins)","Turin (Salins)","CH_VS","CH"
7584,20,1991,5,"Misériez (Salins)","Misériez (Salins)","CH_VS","CH"
7585,20,1993,2,"Clèbes (Nendaz)","Clèbes (Nendaz)","CH_VS","CH"
7586,20,1996,7,"Brignon (Nendaz)","Brignon (Nendaz)","CH_VS","CH"
7608,20,1992,2,"La Vernaz","La Vernaz (Les Agettes)","CH_VS","CH"
7609,20,1992,3,"Crête-à-l'Oeil","Crête-à-l'Oeil(Les Agettes)","CH_VS","CH"
7611,20,1996,2,"Bieudron (Nendaz)","Bieudron (Nendaz)","CH_VS","CH"
7612,20,1996,3,"Condémines (Nendaz","Condémines (Nendaz)","CH_VS","CH"
7613,20,1996,4,"Saclentse","Saclentse","CH_VS","CH"
7614,40,4078,0,"Basel Reader's D.","Basel Reader's Digest","CH_BS","CH"
7620,20,1911,2,"Mayens-de-Chamoson","Mayens-de-Chamoson","CH_VS","CH"
7621,20,1585,3,"Cotterd","Cotterd","CH_VD","CH"
7622,20,1873,2,"Champoussin","Champoussin","CH_VS","CH"
7631,20,2063,3,"Fenin","Fenin","CH_NE","CH"
7632,20,2063,4,"Saules","Saules","CH_NE","CH"
7647,20,1873,3,"Les Crosets","Les Crosets","CH_VS","CH"
7649,80,1095,60,"Lutry Distribution","Lutry Distribution","CH_VD","CH"
7650,80,1052,60,"Mont-Lausanne Dist","Le Mont-sur-Lausanne Dist","CH_VD","CH"
7651,80,2013,60,"Colombier NE Dist","Colombier NE Distribution","CH_NE","CH"
7653,80,2074,60,"Marin-Epagnier Dis","Marin-Epagnier Distribution","CH_NE","CH"
7654,80,2520,60,"La Neuveville Dist","La Neuveville Distribution","CH_BE","CH"
7655,80,2710,60,"Tavannes Dist","Tavannes Distribution","CH_BE","CH"
7656,80,2720,60,"Tramelan Dist","Tramelan Distribution","CH_BE","CH"
7657,80,2735,60,"Malleray-Bév. Dist","Malleray-Bévilard Dist","CH_BE","CH"
7658,80,2610,60,"St-Imier Dist","St-Imier Distribution","CH_BE","CH"
7659,80,1470,60,"Estavayer-le-Lac D","Estavayer-le-Lac Dist","CH_FR","CH"
7660,80,1580,60,"Avenches Dist","Avenches Distribution","CH_VD","CH"
7661,80,1510,60,"Moudon Dist","Moudon Distribution","CH_VD","CH"
7662,80,3186,60,"Düdingen Zust","Düdingen Zustellung","CH_FR","CH"
7663,80,1680,60,"Romont FR Dist","Romont FR Distribution","CH_FR","CH"
7665,80,1844,60,"Villeneuve VD Dist","Villeneuve VD Distribution","CH_VD","CH"
7666,80,1880,60,"Bex Distribution","Bex Distribution","CH_VD","CH"
7667,80,1233,60,"Bernex Dist","Bernex Distribution","CH_GE","CH"
