"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
5969,20,4436,2,"Liedertswil","Liedertswil","res_country_state_ch_bl","base.ch"
5970,20,9057,2,"Schwende","Schwende","res_country_state_ch_ai","base.ch"
5971,20,7456,2,"Marmorera","Marmorera","res_country_state_ch_gr","base.ch"
5972,20,7130,2,"Schnaus","Schnaus","res_country_state_ch_gr","base.ch"
5973,20,7116,2,"St. Martin","St. Martin (Lugnez)","res_country_state_ch_gr","base.ch"
5974,20,7415,2,"Pratval","Pratval","res_country_state_ch_gr","base.ch"
5975,20,7423,2,"Portein","Portein","res_country_state_ch_gr","base.ch"
5976,20,7027,3,"Calfreisen","Calfreisen","res_country_state_ch_gr","base.ch"
5977,20,5619,2,"Uezwil","Uezwil","res_country_state_ch_ag","base.ch"
5978,20,2912,2,"Réclère","Réclère","res_country_state_ch_ju","base.ch"
5979,20,1820,6,"Veytaux","Veytaux","res_country_state_ch_vd","base.ch"
5980,20,5012,4,"Eppenberg","Eppenberg","res_country_state_ch_so","base.ch"
5981,20,8905,2,"Islisberg","Islisberg","res_country_state_ch_ag","base.ch"
5982,20,5224,2,"Gallenkirch","Gallenkirch","res_country_state_ch_ag","base.ch"
5983,20,5224,3,"Linn","Linn","res_country_state_ch_ag","base.ch"
5984,20,5637,2,"Geltwil","Geltwil","res_country_state_ch_ag","base.ch"
5985,20,5058,0,"Wiliberg","Wiliberg","res_country_state_ch_ag","base.ch"
5986,20,8580,7,"Hefenhofen","Hefenhofen","res_country_state_ch_tg","base.ch"
5987,20,8586,7,"Buchackern","Buchackern","res_country_state_ch_tg","base.ch"
5988,20,8586,8,"Engishofen","Engishofen","res_country_state_ch_tg","base.ch"
5989,20,8586,9,"Ennetaach","Ennetaach","res_country_state_ch_tg","base.ch"
5991,20,8253,2,"Willisdorf","Willisdorf","res_country_state_ch_tg","base.ch"
5992,20,8546,2,"Kefikon TG","Kefikon TG","res_country_state_ch_tg","base.ch"
5995,20,8553,5,"Eschikofen","Eschikofen","res_country_state_ch_tg","base.ch"
5996,20,8553,2,"Harenwilen","Harenwilen","res_country_state_ch_tg","base.ch"
5997,20,8553,3,"Mettendorf TG","Mettendorf TG","res_country_state_ch_tg","base.ch"
5998,20,8573,2,"Alterswilen","Alterswilen","res_country_state_ch_tg","base.ch"
5999,20,8573,3,"Altishausen","Altishausen","res_country_state_ch_tg","base.ch"
6000,20,8566,4,"Ellighausen","Ellighausen","res_country_state_ch_tg","base.ch"
6001,20,8566,5,"Lippoldswilen","Lippoldswilen","res_country_state_ch_tg","base.ch"
6002,20,8274,2,"Gottlieben","Gottlieben","res_country_state_ch_tg","base.ch"
6003,20,8585,7,"Schönenbaumgarten","Schönenbaumgarten","res_country_state_ch_tg","base.ch"
6004,20,8585,8,"Herrenhof","Herrenhof","res_country_state_ch_tg","base.ch"
6005,20,8564,3,"Sonterswil","Sonterswil","res_country_state_ch_tg","base.ch"
6006,20,9562,2,"Buch b. Märwil","Buch b. Märwil","res_country_state_ch_tg","base.ch"
6007,20,9556,2,"Zezikon","Zezikon","res_country_state_ch_tg","base.ch"
6010,20,8512,3,"Wetzikon TG","Wetzikon TG","res_country_state_ch_tg","base.ch"
6012,20,8360,2,"Wallenwil","Wallenwil","res_country_state_ch_tg","base.ch"
6013,20,8537,2,"Uerschhausen","Uerschhausen","res_country_state_ch_tg","base.ch"
